Country Name,PrivateInvest,CO2,Renew,AccessEnergy,FossilFuel,ElectricPower,FuelExports,GDP,ForestArea,EnergyUse,PopGrowth,RenewElecOut,UrbanPop,CGovDebt,AirPolExp,Continent,ParisClimAccord
North Macedonia,158200000,7510.016,21.20423858,100,79.42591466,3496.528739,1.755122201,11362272838,39.57176844,1262.386447,0.082237124,24.04168217,57.284,,31.79054123,Europe,Yes
Mali,39550000,1411.795,64.59126071,33.00404358,,,,14345831015,3.928896319,,2.901921705,42.87441124,39.196,,33.91611574,Africa,Yes
Montenegro,56500000,2211.201,45.99433488,100,64.664697,4612.34139,14.5616643,4587928884,61.48698885,1538.2641,0.097022011,55.21588402,65.471,,21.94705168,Europe,Yes
Mongolia,452000000,20839.561,3.269842824,81.15559387,93.19938283,2006.388881,27.86524009,12226514722,8.14264018,1828.103253,2.00339925,3.162202381,68.163,,39.29514006,Asia,Yes
Mozambique,200000000,8426.766,88.85704783,23.40527916,12.61995347,478.9211723,30.03791295,17716084108,48.50886141,442.6652152,2.798568532,91.15757439,33.878,,22.61416414,Africa,Yes
Mauritius,69500000,4228.051,10.63386133,97.86135101,84.5423603,2182.509156,0.000923462,12803445934,18.99507457,1111.422168,0.181061469,20.2928158,41.111,,15.29264823,Africa,Yes
Malaysia,699160000,242821.406,4.769773637,99.99250793,96.6281989,4651.958734,22.01118769,3.38E+11,67.51118789,3003.455771,1.340490659,9.707802996,73.577,52.67584873,16.92315529,Asia,Yes
North America,1747900000,5792048.502,10.22052873,100,81.97940165,13253.81802,15.520933,1.93E+13,36.01431774,7054.545158,0.764028926,19.52780295,81.45987201,96.37227069,8.142225682,North America,
New Caledonia,26210000,4290.39,3.982523019,100,,,0.002438451,,45.89715536,,1.65510643,11.67348511,68.931,,,Oceania,No
Niger,17479000,2126.86,78.14143846,16.52550125,24.06036815,51.19500844,27.03187043,8229731384,0.911344458,150.0138486,3.899889965,0.902934537,16.219,,60.54135722,Africa,Yes
Nigeria,349580000,96280.752,87.29924781,55.44109726,18.87676676,144.5254622,90.85418686,5.68E+11,8.127847972,763.6319766,2.665019173,17.59131293,46.982,,48.63337361,Africa,Yes
Nicaragua,76000000,4862.442,51.83928357,81.853073,40.69539206,568.3138108,0.335303664,11880395548,25.87668273,596.2438869,1.315508853,53.86864597,57.7,,19.38772134,North America,Yes
Netherlands,1048740000,167303.208,5.659627737,100,90.92188386,6712.774758,16.59400167,8.91E+11,11.14277215,4325.523712,0.359828173,11.32104663,89.69,,12.82879707,Europe,Yes
Norway,953400000,47626.996,57.19640195,100,57.97823335,22999.9346,64.90521705,4.98E+11,33.16690469,5595.654625,1.127736677,97.65553085,80.692,,7.670895927,Europe,Yes
Nepal,158900000,8030.73,84.37478906,84.9,15.4826794,146.4678648,0.00427692,20002968838,25.3644925,434.4492938,-0.040799013,99.97366342,18.182,,98.11601657,Asia,Yes
New Zealand,150568000,34664.151,30.32263714,100,59.84684405,9026.321041,3.27375578,2.01E+11,38.55455473,4559.892232,1.510339485,79.20239053,86.281,44.24860342,6.357903512,Oceania,Yes
Oman,376420000,61169.227,0,100,99.96316865,6445.573417,83.53407271,81076723017,0.006462036,6040.609,6.739017689,0,80.145,,37.71088051,Asia,Yes
Pakistan,1129260000,166298.45,46.60452974,70.98994446,61.58536145,447.5010026,2.642198107,2.44E+11,1.965286426,460.2347972,2.092276276,31.10255356,35.819,,59.51836271,Asia,Yes
Panama,513300000,8800.8,19.77078859,93.72879791,80.71266196,2064.175797,0.014129464,49921500000,62.32714423,1079.868967,1.703029701,55.79842791,66.371,,12.92161513,North America,Yes
Peru,1641600000,61744.946,25.99686493,92.919989,79.55568357,1345.879589,14.44584789,2.01E+11,57.92234497,790.2171922,1.056972861,52.36845558,77.173,19.34365633,27.5826726,South America,Yes
Philippines,4002750000,105653.604,28.58217185,89.83056641,62.43489629,696.3467801,2.959358921,2.85E+11,26.1595734,474.2978774,1.646689216,25.59731822,46.093,45.39462718,20.25958716,Asia,Yes
Papua New Guinea,444750000,6318.241,52.55234961,39.58842087,,,,23210682537,74.11076443,,2.01278982,34.53065134,12.988,26.894612,13.24529823,Oceania,Yes
Poland,8895040000,285739.974,11.56931553,100,90.0879643,3971.799761,4.046633839,5.45E+11,30.74496164,2473.406883,-0.074846229,12.51861105,60.403,,22.21089179,Europe,Yes
"Korea, Dem. People’s Rep.",2223760000,40527.684,21.03318699,37.42451096,62.05199476,601.6900479,,,42.83697367,475.3483473,0.513332499,72.58920096,61.098,,35.2402154,Asia,Yes
Portugal,2779700000,45052.762,30.45700808,100,72.8127263,4662.6008,7.946930295,2.30E+11,34.86031479,2034.51263,-0.539190467,60.740199,62.936,,8.78479289,Europe,Yes
Paraguay,555940000,5702.185,63.11693531,99.000716,33.70331205,1552.384217,22.74851468,40276532541,39.3868623,783.0797242,1.361597664,99.98914656,60.474,,12.6410755,South America,Yes
Pacific island small states,252700000,2478.892,32.65879226,76.0548604,,,0.03398047,9126129404,61.57741622,,1.264534966,30.85407476,37.80261752,,12.00545886,Oceania,No
Qatar,1516200000,107853.804,0,100,99.99502672,14781.64833,87.81367902,2.06E+11,0,17922.73294,5.114952657,0,98.868,,78.83284035,Asia,Yes
Romania,1263500000,70003.03,24.3318801,100,72.52369457,2584.411787,5.758579617,2.00E+11,29.51929679,1591.667659,-0.374575498,41.6060857,53.9,,15.00649546,Europe,Yes
Russian Federation,723100000,1705345.684,3.422426946,100,92.14287582,6602.657525,69.87429274,2.06E+12,49.76356898,4942.875517,0.217700101,16.5682512,73.95,11.19642586,16.58216295,Asia,Yes
Rwanda,24100000,839.743,88.18130377,19.8,,,0.198314947,8016593394,19.18119223,,2.485533644,44.0581476,16.967,,42.21148744,Africa,Yes
South Asia,3491700000,2516434.746,38.99754223,80.53841416,71.52352351,705.3184354,17.56659147,2.58E+12,17.44890875,574.3576178,1.282053895,17.6182362,32.33684592,,83.06717057,Asia,
Saudi Arabia,2123100000,601046.969,0.006008742,100,99.92801862,9401.366769,84.93700722,7.56E+11,0.454484135,6905.756103,2.835954922,0.000320712,82.96,,75.60844062,Asia,Yes
Sudan,606600000,15364.73,62.43602847,44.9,31.72652659,190.2208868,,82151588419,,380.8738409,2.412115688,78.34915612,33.689,,48.14174218,Africa,Yes
Senegal,337000000,8855.805,43.35706358,61,53.90911721,229.3517951,19.18716371,19770840286,43.17768659,279.2105896,2.806700536,10.41722746,45.436,,36.82683776,Africa,Yes
Singapore,1685000000,56372.791,0.621625223,100,90.57887358,8844.687593,16.88096349,3.15E+11,23.06064884,5121.804318,1.298440178,1.662616444,100,99.60979867,17.40887705,Asia,Yes
Solomon Islands,22344000,201.685,62.99314064,50.03829575,,,0.000840179,1172268301,78.26366908,,2.718366576,2.32755872,21.896,9.935189473,12.17203082,Oceania,Yes
Sierra Leone,111720000,1309.119,73.05428622,17.64074898,,,0.012842457,5015157816,41.29121505,,2.206884922,65.35694521,40.432,,17.69823222,Africa,Yes
El Salvador,558600000,6285.238,28.26544315,95.125416,48.42958734,937.0738768,2.588236364,22593000000,13.00193021,645.8763031,0.462663702,59.69789491,68.874,50.83901201,27.50259084,North America,Yes
Somalia,69825000,608.722,94.42694974,27.61673546,,,,3963532309,10.2652466,,2.717471318,0,42.679,,30.40108067,Africa,Yes
Serbia,558600000,37667.424,23.42929075,99.66079793,83.87126164,4271.744667,,47062206678,31.0839252,1859.428888,-0.469489291,32.98451235,55.583,,26.49207255,Europe,Yes
South Sudan,67515000,1496.136,29.82963329,15.18812466,72.22263478,43.58172421,,13962212837,,66.34199545,1.911562502,0.409836066,18.626,,41.90056033,Africa,Yes
Sub-Saharan Africa,1157400000,822819.0341,70.2864319,38.23107427,39.78936584,485.7176201,49.19878749,1.83E+12,27.80670086,688.4997407,2.748418688,26.58124078,38.06910403,,37.20808578,Africa,
Suriname,96450000,1991.181,25.38253637,94.2579422,76.25349582,3596.777721,10.63474803,5240606061,98.306409,1247.32275,1.087089694,62.33944954,66.089,,25.99884713,South America,Yes
Slovak Republic,963900000,30678.122,12.24275155,100,63.94609543,5137.073835,4.384271872,1.01E+11,40.34525892,2943.18916,0.097045422,22.94459997,54,,18.30418161,Europe,Yes
Slovenia,642600000,12812.498,22.30048656,100,59.66320668,6727.999302,6.187993323,49930685013,61.95630828,3236.236045,0.098351922,38.51890695,53.557,,16.63270074,Europe,Yes
Sweden,1071000000,43420.947,49.69341469,100,29.77474727,13480.14822,7.98321638,5.80E+11,68.92293339,4966.435921,0.992219729,55.83768577,86.247,,6.959197681,Europe,Yes
Syrian Arab Republic,630000000,30703.791,2.353229564,89.91056824,97.79178143,974.3171391,,,2.673855035,577.1856869,-4.536564951,11.10741919,51.5,,41.53448066,Asia,Yes
Turks and Caicos Islands,78750000,205.352,0.576831433,100,,,,823968140,36.21052792,,1.820307038,0,91.851,,,North America,No
Chad,236250000,729.733,89.2400627,8.510287285,,,,13922223234,3.972045821,,3.296945541,0,22.372,,51.24716851,Africa,Yes
Europe & Central Asia (IDA & IBRD countries),8998236000,3331985.003,6.802529038,99.97936278,89.32874706,4224.184156,40.51021851,4.64E+12,38.76930142,3053.334853,0.547699388,18.19499148,65.67120505,20.85349564,24.04547776,Europe,
Thailand,3537710000,316212.744,24.09572604,99.99027252,79.83902265,2538.79638,4.800766252,4.07E+11,32.0401652,1969.001719,0.430842722,8.514534749,46.943,39.56865222,29.36464114,Asia,Yes
Latin America & the Caribbean (IDA & IBRD countries),18805900000,1844357.987,27.34965115,96.97759289,73.16127163,2168.323,13.33849585,6.20E+12,46.45974383,1361.502569,1.092953815,54.6158949,79.5884432,,18.39823316,South America,
South Asia (IDA & IBRD),3491700000,2516434.746,38.99754223,80.53841416,71.52352351,705.3184354,17.56659147,2.58E+12,17.44890875,574.3576178,1.282053895,17.6182362,32.33684592,,83.06717057,Asia,
Turkey,11050450000,345981.45,11.60788754,100,89.5439509,2847.126383,3.761938199,9.34E+11,15.08854854,1573.7159,1.701972386,20.88719375,73.077,31.56384939,42.59577121,Asia,No
Tanzania,24750000,11562.051,86.67360332,23.5,14.38061695,103.6833158,2.190897704,49964788814,52.41815308,497.076731,3.002104081,42.2897572,30.904,,28.87371592,Africa,Yes
Uganda,13750000,5229.142,90.22213006,20.4,,,2.114099522,27291879819,11.03231573,,3.352319631,91.35896353,21.504,,46.93056685,Africa,Yes
Ukraine,38500000,227298.995,3.499746218,100,75.34950578,3418.585024,3.389940473,1.34E+11,16.63277494,2334.407199,-0.479615926,5.587031186,68.968,63.66531919,20.48689522,Europe,Yes
Uruguay,945000000,6747.28,55.39133872,99.657085,46.27030789,3085.194419,1.133128971,57236013058,10.41172443,1386.020137,0.323864956,90.72608529,94.945,44.35796135,9.926816159,South America,Yes
United States,11340000000,5254279.285,8.754308954,100,83.08904242,12993.96182,11.15637361,1.75E+13,33.86965942,6960.681985,0.734092817,12.95382709,81.483,96.37227069,8.220720319,North America,Yes
"Venezuela, RB",1890000000,185220.17,12.3158343,99.5427475,,2718.942775,,4.82E+11,53.11195333,,0.874378499,68.26270423,88.144,,19.10406153,South America,Yes
Vietnam,1790000000,166910.839,37.03547263,99.2,,1423.688345,6.15828225,1.86E+11,47.22804528,,1.053479554,42.98140651,33.115,,34.89601505,Asia,Yes
South Africa,70000000,489771.854,16.5881622,86,86.79143169,4197.907047,10.82526931,3.51E+11,7.617736524,2695.416479,1.583168287,1.293136276,64.312,,26.72221238,Africa,Yes
Zimbabwe,17500000,12020.426,81.0492915,32.3,,609.1259521,0.555653458,19495519600,37.15755562,,1.754692348,55.60542589,32.504,,22.80594966,Africa,Yes
